train_lang,test_lang,acc,f1
af,af,0.9843896934361482,0.9823300970873786
af,ar,0.5879319633648887,0.5177182962911994
af,bg,0.8475977375846852,0.8340935748729311
af,de,0.8379525969231697,0.8288648484118277
af,el,0.8009665647499753,0.7796821439700843
af,en,0.8599916975348065,0.8413559090831585
af,es,0.8610888575458392,0.8434013402829486
af,et,0.8627218139451515,0.8293399638336347
af,eu,0.753600332019091,0.69991389541784
af,fa,0.7117740399873056,0.6412608093437652
af,fi,0.8244762241054614,0.7918368670167931
af,fr,0.5127650092315528,0.49737120607593793
af,he,0.734146925101699,0.6668503340450445
af,hi,0.721725303120652,0.6715869558149364
af,hu,0.779383429672447,0.7323597384078281
af,id,0.7731525531240089,0.7256131292642448
af,it,0.854533809131668,0.8395840747972796
af,ja,0.19447590833841596,0.12661912385387863
af,ko,0.5848909657320872,0.46837606837606843
af,mr,0.835,0.7851002865329513
af,nl,0.858270119452437,0.8418762428354194
af,pt,0.8408845874181983,0.8270692595481407
af,ru,0.8533833246608834,0.8310379498211237
af,ta,0.7271922054915855,0.648109243697479
af,te,0.8126888217522659,0.7728026533996684
af,tr,0.7325355425999796,0.6681564245810057
af,ur,0.6800630958096152,0.5989470677059952
af,vi,0.5779051589369463,0.506879936416472
af,zh,0.24891415936192055,0.15846777882826557
ar,af,0.7129960504043633,0.673989016475287
ar,ar,0.9664049873008543,0.9474810394427141
ar,bg,0.7515693952389831,0.7194613871946138
ar,de,0.658128286648485,0.5908934699262552
ar,el,0.6346779761317685,0.5376855944690015
ar,en,0.6545855153914931,0.599067000681603
ar,es,0.6543187588152327,0.5847968030601453
ar,et,0.6764205054669296,0.6269953861687309
ar,eu,0.6079684581863457,0.5335584227661884
ar,fa,0.7713741669311329,0.6927186689055107
ar,fi,0.6643126177024482,0.6044361677363573
ar,fr,0.4398887969270601,0.4132789178431853
ar,he,0.7607083034218712,0.7076392877656519
ar,hi,0.6409120595167107,0.587707054569915
ar,hu,0.5998423541776143,0.49251035801551046
ar,id,0.636615921344751,0.6126861862558582
ar,it,0.6916643791746729,0.6378166617865328
ar,ja,0.20397316371874183,0.13867264810661037
ar,ko,0.4983080889461811,0.36856066365924944
ar,mr,0.715,0.6303387334315169
ar,nl,0.6478332897375534,0.6004106374657803
ar,pt,0.7061153875084623,0.6759752805601611
ar,ru,0.7615741565745486,0.717725540025413
ar,ta,0.5651018600531443,0.43473325766174803
ar,te,0.7145015105740181,0.6722689075630253
ar,tr,0.6403804848112918,0.5604006351532917
ar,ur,0.5847335573691791,0.5241157556270096
ar,vi,0.5197151294076776,0.44193613992271713
ar,zh,0.3206191265892758,0.23562220468297818
bg,af,0.8369381230016927,0.8161223889379229
bg,ar,0.6785576849072578,0.6143209421308565
bg,bg,0.9907390142333271,0.9894135221146976
bg,de,0.833139964138804,0.8147513577271377
bg,el,0.8154650359996055,0.7845419747260237
bg,en,0.8491665602248052,0.8248409273127378
bg,es,0.8794019746121298,0.8500726398090266
bg,et,0.8698691521778097,0.8355165564578986
bg,eu,0.7438057688317078,0.6682261761300535
bg,fa,0.7556966042526182,0.670011402508552
bg,fi,0.825947504708098,0.7907332141115266
bg,fr,0.5760913393179262,0.6185528551888031
bg,he,0.7706389088298636,0.6971562997301598
bg,hi,0.7465428628219326,0.6850966602388554
bg,hu,0.7520581537922578,0.7025879099170288
bg,id,0.8128766254360926,0.7603359173126614
bg,it,0.8710952511666209,0.85134308652642
bg,ja,0.19804827045395137,0.14465032875074715
bg,ko,0.5798689440326565,0.4524640422686801
bg,mr,0.815,0.7478260869565216
bg,nl,0.8451041939140291,0.8124792408066429
bg,pt,0.8779179098864178,0.8604407135362014
bg,ru,0.9115267551018953,0.8979169100183001
bg,ta,0.7360496014171833,0.6528066528066527
bg,te,0.8187311178247734,0.7835390946502058
bg,tr,0.7387746752582591,0.6732614967909085
bg,ur,0.717646251971744,0.6279108039167284
bg,vi,0.610300503734584,0.5200845665961946
bg,zh,0.2710653083787412,0.1928706624605678
de,af,0.8649614444235472,0.8507069722086787
de,ar,0.6497344724082198,0.5823378055504502
de,bg,0.8798558021008143,0.867471447629584
de,de,0.9800051230280109,0.9772905049077742
de,el,0.8774040832429234,0.8624043037450858
de,en,0.3232213564950824,0.4172480248847615
de,es,0.8379802538787025,0.8211636920426815
de,et,0.8608173507797097,0.8262515460826326
de,eu,0.7471674621290724,0.7011186095960062
de,fa,0.7339892097746747,0.6573358348968106
